#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS101, CIV, 55, 50, 40, 72, 
FS109, CIV, 0, 80, 45, 85, 
FS102, CEL, 70, 42, 35, 69, 
FS103, MEL, 0, 0, 22, 22, 
FS105, QUI, 64, 75, 40, 82, 
FS102, QUI, 40, 33, 40, 62, 
FS107, CEL, 14, 0, 40, 44, 
FS105, CEL, 36, 25, 10, 28, 
FS107, CEL, 50, 100, 40, 85, 
FS103, CIV, 71, 20, 40, 67, 
FS109, TOP, 0, 38, 46, 65, 
FS105, IQU, 57, 65, 36, 73, 
FS109, CIV, 0, 90, 49, 94, 
FS101, CIV, 65, 45, 40, 73, 
FS107, MEL, 29, 0, 35, 44, 
FS104, MEL, 92, 86, 33, 86, 
FS105, IND, 79, 90, 40, 91, 
FS105, CEL, 71, 65, 28, 69, 
